miete,miete_delta,groesse,days_to_freiab,days_to_rent,polarity_de,popular_area,new_user,möbliert,unmöbliert,bitte,leider,Skype,besichtigung,xx,:\),scam
440.0,-30.3528399311532,10.0,11,213,0.1346153846153846,1,0,1,0,0,0,0,0,0,0,0.0
420.0,-16.08648648648648,19.0,11,731,0.7,0,0,0,0,0,0,0,0,0,0,0.0
420.0,-50.3528399311532,22.0,11,365,0.29230769230769227,1,0,1,0,0,0,0,0,0,0,0.0
500.0,29.6471600688468,16.0,11,182,0.034999999999999996,1,0,1,0,0,0,0,0,0,0,0.0
500.0,63.91351351351352,13.0,10,732,0.07777777777777778,0,0,1,0,0,0,0,0,0,0,0.0
600.0,129.6471600688468,19.0,1,558,0.24074074074074073,1,0,0,0,1,0,0,0,0,0,0.0
500.0,29.6471600688468,22.0,11,122,0.4,1,0,1,0,0,0,0,0,0,0,0.0
450.0,-20.3528399311532,12.0,25,214,0.38846153846153847,1,0,1,0,0,0,0,0,0,0,0.0
500.0,29.6471600688468,17.0,81,264,0.27847222222222223,1,0,1,0,0,1,0,0,0,0,0.0
470.0,33.91351351351352,17.0,11,700,0.45000000000000007,0,0,0,0,1,0,0,1,0,0,0.0
450.0,-20.3528399311532,20.0,11,213,0.39444444444444443,1,0,0,0,0,0,0,0,0,0,0.0
300.0,-170.3528399311532,28.0,11,92,0.0,1,0,0,0,0,0,0,0,0,0,0.0
550.0,79.6471600688468,16.0,11,731,0.22638888888888886,1,0,0,0,0,0,0,0,0,1,0.0
420.0,-16.08648648648648,13.0,41,701,0.25919540229885063,0,0,0,0,0,0,0,0,0,0,0.0
340.0,-96.08648648648648,11.0,7,126,0.5549999999999999,0,0,1,0,0,0,0,0,0,0,0.0
420.0,-50.3528399311532,18.0,1,101,0.4722222222222222,1,0,1,0,0,0,0,0,0,0,0.0
590.0,153.91351351351352,17.0,11,245,0.27999999999999997,0,0,0,0,0,0,0,0,0,0,0.0
495.0,24.6471600688468,23.0,12,91,0.19399999999999998,1,0,0,0,0,1,0,0,0,1,0.0
750.0,279.6471600688468,16.0,41,701,0.11916666666666664,1,0,1,0,1,0,0,0,0,0,0.0
495.0,24.6471600688468,20.0,11,731,0.35294117647058826,1,0,1,1,1,0,0,0,0,0,0.0
308.0,-162.3528399311532,13.0,103,639,0.0,1,0,1,1,0,0,0,0,0,0,0.0
300.0,-136.08648648648648,18.0,41,701,0.21666666666666665,0,0,0,0,0,1,0,0,0,0,0.0
480.0,43.91351351351352,18.0,4,738,0.20999999999999996,0,0,0,0,0,1,0,0,0,0,0.0
300.0,-136.08648648648648,15.0,11,122,0.4642857142857143,0,0,0,0,0,0,0,0,0,0,0.0
400.0,-36.08648648648648,15.0,1,741,0.4678571428571429,0,0,1,0,0,0,0,0,0,0,0.0
400.0,-36.08648648648648,15.0,1,741,0.0,0,0,0,0,0,0,0,0,0,0,0.0
500.0,29.6471600688468,20.0,10,732,0.1025,1,0,0,0,0,0,0,0,0,1,0.0
335.0,-101.08648648648648,18.0,41,701,0.6199999999999999,0,0,1,1,0,0,0,0,0,0,0.0
400.0,-70.3528399311532,25.0,10,213,0.5,1,0,0,0,0,0,0,0,0,0,0.0
385.0,-85.3528399311532,23.0,10,731,0.3676470588235293,1,1,0,0,1,1,0,0,0,0,1.0
550.0,79.6471600688468,23.0,10,731,0.17142857142857143,1,0,0,0,0,0,0,0,0,0,0.0
290.0,-146.08648648648648,8.0,10,731,0.33333333333333326,0,0,0,0,1,0,0,0,0,0,0.0
406.0,-30.08648648648648,14.0,38,703,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,20.0,40,91,0.0,0,0,0,0,0,0,0,0,0,1,0.0
490.0,53.91351351351352,22.0,10,731,0.34615384615384615,0,1,0,0,0,0,0,0,0,0,0.0
450.0,13.913513513513522,12.0,2,739,0.11739130434782609,0,0,1,0,1,1,0,0,0,0,0.0
480.0,9.647160068846802,24.0,10,213,0.425,1,0,1,0,0,0,0,0,0,0,0.0
430.0,-40.3528399311532,15.0,10,731,0.0,1,0,0,0,0,0,0,0,0,1,0.0
444.0,7.9135135135135215,18.0,2,743,0.35555555555555557,0,0,0,0,0,0,0,0,0,0,0.0
500.0,63.91351351351352,20.0,10,731,0.0,0,0,0,0,0,0,0,0,0,0,0.0
515.0,44.6471600688468,22.0,40,701,0.42619047619047623,1,0,1,1,0,0,0,0,0,0,0.0
600.0,163.91351351351352,15.0,10,731,0.2846153846153846,0,0,0,0,0,1,0,0,0,0,0.0
475.0,4.6471600688468016,30.0,10,122,0.3136363636363636,1,0,0,0,1,0,0,0,0,1,0.0
480.0,9.647160068846802,11.0,1,191,0.1794871794871795,1,0,0,0,1,1,0,0,0,0,0.0
400.0,-70.3528399311532,20.0,3,738,0.24375000000000002,1,1,0,0,0,1,0,0,0,0,1.0
679.0,242.91351351351352,47.0,1,740,0.3125,0,0,0,0,0,0,0,0,0,0,0.0
500.0,29.6471600688468,16.0,40,245,0.1722222222222222,1,0,0,0,0,0,0,0,0,0,0.0
434.0,-36.3528399311532,20.0,10,731,0.1617816091954023,1,0,0,0,0,0,1,0,0,0,0.0
1500.0,1063.9135135135134,20.0,21,365,0.3,0,0,1,0,0,0,0,0,0,0,0.0
500.0,29.6471600688468,19.0,10,731,0.31,1,1,1,0,1,0,0,0,0,0,0.0
449.0,-21.3528399311532,20.0,8,733,0.6675,1,0,0,0,1,1,0,0,0,0,0.0
400.0,-70.3528399311532,21.0,10,183,0.34545454545454546,1,1,0,0,0,1,0,0,0,1,1.0
490.0,19.6471600688468,28.0,132,151,0.20500000000000002,1,0,0,0,1,0,0,0,0,0,0.0
541.0,70.6471600688468,23.0,40,701,0.23600000000000002,1,1,1,1,1,0,0,0,0,0,0.0
352.0,-84.08648648648648,17.0,10,731,0.6799999999999999,0,0,0,0,0,0,0,0,0,0,0.0
360.0,-76.08648648648648,15.0,10,152,0.06363636363636363,0,0,0,0,0,0,0,0,0,0,0.0
553.0,82.6471600688468,20.0,10,395,0.0,1,0,0,0,0,0,0,0,0,0,0.0
490.0,19.6471600688468,22.0,10,731,0.0,1,1,0,0,0,0,0,0,0,0,0.0
330.0,-106.08648648648648,14.0,12,301,0.33166666666666667,0,0,0,0,0,1,0,0,0,0,0.0
350.0,-120.3528399311532,20.0,33,708,0.425,1,1,1,0,0,0,0,0,0,0,1.0
430.0,-40.3528399311532,12.0,0,741,0.30000000000000004,1,0,1,0,1,0,0,0,0,0,0.0
400.0,-36.08648648648648,20.0,0,132,0.175,0,0,1,0,0,0,0,0,0,0,0.0
500.0,29.6471600688468,20.0,10,183,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0.0
500.0,63.91351351351352,40.0,2,743,0.10625,0,0,1,0,0,0,0,0,0,0,0.0
445.0,-25.3528399311532,20.0,40,701,0.425,1,0,0,0,0,0,0,0,0,0,0.0
490.0,53.91351351351352,26.0,75,390,0.41333333333333333,0,0,0,0,0,0,0,0,0,0,0.0
390.0,-46.08648648648648,14.0,24,717,0.1947916666666667,0,0,0,0,0,1,0,0,0,0,0.0
350.0,-86.08648648648648,24.0,10,731,0.7749999999999999,0,0,0,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,12.0,1,740,0.08947368421052632,0,0,0,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,17.0,3,126,0.14666666666666664,0,0,0,0,1,0,0,0,0,0,0.0
600.0,129.6471600688468,25.0,63,148,0.10769230769230768,1,0,0,0,0,0,0,0,0,0,0.0
410.0,-26.08648648648648,21.0,10,213,0.42800000000000005,0,0,0,0,1,0,0,0,0,1,0.0
450.0,-20.3528399311532,12.0,10,547,0.8333333333333333,1,0,1,0,0,0,0,0,0,0,0.0
449.0,12.913513513513522,10.0,10,731,0.07368421052631578,0,0,0,0,0,0,0,0,0,0,0.0
340.0,-96.08648648648648,11.0,6,125,0.5549999999999999,0,0,1,0,0,0,0,0,0,0,0.0
250.0,-186.08648648648648,18.0,40,701,0.175,0,0,0,0,0,0,0,0,0,0,0.0
535.0,98.91351351351352,17.0,10,272,0.30000000000000004,0,0,1,0,0,0,0,0,0,0,0.0
830.0,393.9135135135135,23.0,1,365,0.38,0,0,1,0,0,0,0,0,0,0,0.0
540.0,69.6471600688468,38.0,2,221,0.3611111111111111,1,0,1,0,1,0,0,0,0,0,0.0
440.0,3.9135135135135215,19.0,102,639,0.6794871794871794,0,0,1,1,1,1,0,0,0,1,0.0
400.0,-36.08648648648648,15.0,10,731,0.19615384615384615,0,0,0,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,21.0,10,731,0.4666666666666666,0,1,0,0,0,0,0,0,0,0,0.0
560.0,89.6471600688468,14.0,40,273,0.5166666666666666,1,0,0,0,0,0,0,0,0,0,0.0
610.0,139.6471600688468,17.0,102,364,0.82,1,0,0,0,0,0,0,0,0,0,0.0
570.0,99.6471600688468,11.0,71,303,0.5083333333333333,1,0,0,0,0,1,0,0,0,0,0.0
520.0,49.6471600688468,8.0,75,268,0.3583333333333333,1,0,0,0,0,1,0,0,0,0,0.0
440.0,-30.3528399311532,12.0,12,729,0.85,1,0,0,0,0,0,0,0,0,0,0.0
560.0,89.6471600688468,11.0,132,334,0.35,1,0,0,0,0,0,0,0,0,0,0.0
420.0,-50.3528399311532,18.0,0,131,0.3466666666666667,1,0,1,0,0,1,0,0,0,0,0.0
390.0,-80.3528399311532,18.0,29,712,0.2670731707317073,1,0,1,0,0,0,0,0,0,0,0.0
240.0,-196.08648648648648,16.0,8,823,0.39615384615384613,0,0,0,0,0,0,0,0,0,1,0.0
430.0,-40.3528399311532,23.0,102,211,0.7749999999999999,1,0,0,0,0,1,0,0,0,1,0.0
430.0,-6.0864864864864785,14.0,0,741,0.16315789473684209,0,0,1,0,0,0,0,0,0,0,0.0
420.0,-16.08648648648648,10.0,3,738,0.3635294117647059,0,0,1,1,1,0,0,0,0,0,0.0
400.0,-36.08648648648648,20.0,10,92,0.25769230769230766,0,0,0,0,0,0,0,0,0,0,0.0
485.0,48.91351351351352,13.0,7,748,0.13461538461538458,0,1,1,1,0,0,0,0,0,0,0.0
250.0,-186.08648648648648,20.0,9,732,0.5083333333333333,0,0,0,0,0,0,0,0,0,0,0.0
450.0,-20.3528399311532,16.0,54,687,0.4839285714285714,1,0,0,0,0,1,0,0,0,1,0.0
395.0,-41.08648648648648,14.0,71,670,0.44000000000000006,0,0,1,0,0,1,0,0,0,0,0.0
500.0,29.6471600688468,18.0,10,731,0.26249999999999996,1,0,0,0,0,0,0,0,0,0,0.0
395.0,-75.3528399311532,22.0,71,183,0.515,1,0,1,0,0,0,0,0,0,0,0.0
379.0,-91.3528399311532,20.0,40,183,0.3095238095238095,1,0,1,0,0,0,0,0,0,0,0.0
395.0,-75.3528399311532,29.0,71,183,0.7866666666666666,1,0,1,0,0,0,0,0,0,0,0.0
359.0,-111.3528399311532,28.0,71,183,0.3095238095238095,1,0,1,0,0,0,0,0,0,0,0.0
575.0,104.6471600688468,28.0,71,91,0.1,1,0,1,0,0,0,0,0,0,0,0.0
390.0,-80.3528399311532,17.0,10,731,0.0,1,0,0,0,0,0,0,0,0,0,0.0
580.0,143.91351351351352,20.0,35,706,0.23333333333333328,0,1,1,0,0,0,0,0,0,0,0.0
350.0,-120.3528399311532,20.0,3,738,0.0,1,0,0,0,0,0,0,0,0,0,0.0
390.0,-46.08648648648648,12.0,40,701,0.3499999999999999,0,0,1,0,0,1,0,0,0,0,0.0
400.0,-70.3528399311532,31.0,10,518,-0.07777777777777778,1,0,0,0,0,0,0,0,0,1,0.0
420.0,-50.3528399311532,25.0,20,92,0.3416666666666666,1,1,0,0,0,0,0,0,0,1,0.0
445.0,-25.3528399311532,18.0,10,731,0.6071428571428571,1,1,0,0,0,0,0,0,0,0,0.0
360.0,-110.3528399311532,13.0,10,731,0.41111111111111115,1,0,0,0,1,0,0,0,0,0,0.0
550.0,79.6471600688468,18.0,11,92,0.125,1,0,0,0,0,0,0,0,0,0,0.0
450.0,-20.3528399311532,14.0,11,731,0.6111111111111112,1,0,0,0,0,0,0,0,0,0,0.0
450.0,13.913513513513522,16.0,11,731,0.35000000000000003,0,0,1,0,0,1,0,0,0,0,0.0
480.0,9.647160068846802,17.0,11,152,0.0,1,1,0,0,0,0,0,0,0,1,0.0
500.0,29.6471600688468,22.0,25,717,0.1107142857142857,1,0,0,0,0,0,0,0,0,0,0.0
255.0,-215.3528399311532,10.0,25,717,0.14814814814814814,1,0,0,0,0,0,0,0,0,0,0.0
400.0,-36.08648648648648,20.0,3,739,0.08571428571428572,0,0,0,0,1,0,0,0,0,0,0.0
450.0,-20.3528399311532,17.0,11,731,0.3076923076923077,1,0,1,1,0,0,0,0,0,0,0.0
416.0,-54.3528399311532,23.0,41,701,0.29907407407407405,1,0,0,0,1,0,0,0,0,0,0.0
550.0,113.91351351351352,16.0,11,731,0.16,0,0,0,0,0,0,0,0,0,0,0.0
510.0,39.6471600688468,25.0,41,701,0.3444444444444444,1,0,1,1,0,0,0,0,0,0,0.0
625.0,188.91351351351352,26.0,11,731,0.306,0,1,0,0,0,0,0,0,0,0,0.0
440.0,-30.3528399311532,18.0,11,731,0.17878787878787872,1,1,0,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,14.0,11,731,0.2714285714285714,0,0,1,0,0,0,0,0,0,0,0.0
